"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2019","27,950.36","27,918.59","27,976.14","27,912.70","92.79M","0.11%"
"07/26/2019","27,918.59","27,990.61","28,031.67","27,900.57","130.85M","-0.26%"
"07/25/2019","27,990.61","28,088.74","28,103.69","27,985.62","359.11M","-0.35%"
"07/24/2019","28,088.74","28,144.87","28,292.44","28,070.65","157.77M","-0.20%"
"07/23/2019","28,144.87","27,808.69","28,144.87","27,791.98","135.18M","1.21%"
"07/22/2019","27,808.69","27,919.50","28,070.43","27,808.69","285.76M","-0.40%"
"07/19/2019","27,919.50","27,864.49","27,948.24","27,803.57","273.90M","0.20%"
"07/18/2019","27,864.49","28,046.02","28,067.62","27,864.49","175.36M","-0.64%"
"07/17/2019","28,042.80","28,197.66","28,251.78","28,042.68","243.70M","-0.56%"
"07/16/2019","28,200.88","28,340.98","28,566.41","28,138.50","216.68M","-0.49%"
"07/15/2019","28,341.03","28,566.79","28,577.41","28,337.52","175.17M","-0.79%"
"07/12/2019","28,566.79","28,712.90","28,759.29","28,563.31","100.37M","-0.51%"
"07/11/2019","28,712.90","29,256.60","29,281.36","28,637.58","188.43M","-1.86%"
"07/10/2019","29,256.60","29,318.02","29,318.02","29,010.33","188.74M","-0.21%"
"07/09/2019","29,318.85","29,287.87","29,318.85","28,943.48","294.40M","0.11%"
"07/08/2019","29,287.87","29,270.95","29,312.93","29,216.70","216.29M","0.06%"
"07/05/2019","29,270.95","29,300.09","29,318.09","29,235.28","298.40M","-0.10%"
"07/04/2019","29,300.09","29,375.25","29,466.94","29,300.09","180.40M","-0.26%"
"07/03/2019","29,375.25","29,395.14","29,458.03","29,300.70","237.71M","-0.07%"
"07/02/2019","29,395.14","29,614.61","29,616.93","29,395.14","200.68M","-0.74%"
"07/01/2019","29,614.61","29,966.87","29,966.88","29,593.82","107.43M","-1.18%"
"06/28/2019","29,966.87","29,749.35","29,978.81","29,650.45","248.36M","0.73%"
"06/27/2019","29,749.35","29,609.00","29,756.79","29,224.23","301.06M","0.47%"
"06/26/2019","29,609.00","29,668.68","29,697.43","29,588.54","394.02M","-0.20%"
"06/25/2019","29,668.68","29,809.20","29,814.38","29,655.53","253.37M","-0.47%"
"06/24/2019","29,809.20","29,851.29","29,890.01","29,694.91","573.53M","-0.14%"
"06/21/2019","29,851.29","29,803.69","29,890.61","29,747.39","189.94M","0.29%"
"06/20/2019","29,765.31","29,774.81","29,897.18","29,695.62","275.47M","-0.02%"
"06/19/2019","29,772.72","29,818.80","29,891.86","29,772.72","263.43M","-0.15%"
"06/18/2019","29,818.80","29,936.33","29,936.33","29,797.11","2.06B","-0.39%"
"06/17/2019","29,936.33","30,046.70","30,087.86","29,933.25","2.06B","-0.37%"
"06/14/2019","30,046.70","30,029.23","30,086.61","29,994.53","145.28M","0.06%"
"06/13/2019","30,029.15","30,099.83","30,150.05","30,022.92","242.56M","-0.23%"
"06/11/2019","30,099.83","30,322.19","30,322.19","30,055.56","233.43M","-0.73%"
"06/10/2019","30,322.19","30,432.13","30,459.43","30,306.76","247.28M","-0.36%"
"06/07/2019","30,432.13","30,529.90","30,982.78","30,380.98","280.00M","-0.31%"
"06/06/2019","30,527.07","30,928.29","30,948.16","30,136.14","217.19M","-1.30%"
"06/03/2019","30,928.29","31,069.37","31,100.03","30,867.74","","-0.45%"
"05/31/2019","31,069.37","31,254.19","31,257.75","30,992.94","","-0.59%"
"05/30/2019","31,254.19","31,307.00","31,420.68","31,078.83","","-0.17%"
"05/28/2019","31,307.00","30,194.71","31,307.00","30,149.07","","3.68%"
"05/27/2019","30,194.71","30,881.29","30,885.33","30,188.62","","-2.22%"
"05/24/2019","30,881.29","31,754.79","31,809.29","30,825.17","","-1.89%"
"05/23/2019","31,477.51","31,145.15","31,917.13","30,902.23","","1.07%"
"05/22/2019","31,145.15","30,218.14","31,194.69","30,218.14","","3.07%"
"05/21/2019","30,218.14","29,373.40","30,270.34","29,361.88","","2.88%"
"05/20/2019","29,373.40","28,871.93","29,438.95","28,871.93","","1.74%"
"05/17/2019","28,871.93","28,438.19","28,918.54","28,438.19","","1.53%"
"05/16/2019","28,438.19","28,286.08","28,452.00","28,019.97","","0.54%"
"05/15/2019","28,286.08","28,422.76","28,433.39","28,282.30","","-0.48%"
"05/14/2019","28,422.76","28,484.44","28,535.31","28,398.98","","-0.22%"
"05/13/2019","28,484.44","28,847.98","28,876.87","28,542.51","","-1.26%"
"05/10/2019","28,847.81","28,896.25","28,896.25","28,718.68","","-0.17%"
"05/09/2019","28,896.25","28,966.41","29,015.77","28,881.83","","-0.24%"
"05/08/2019","28,966.41","29,096.41","29,115.30","28,946.91","","-0.45%"
"05/07/2019","29,096.41","29,196.87","29,208.63","29,091.60","","-0.34%"
"05/06/2019","29,196.87","29,212.00","29,212.00","29,120.86","","-0.05%"
"05/03/2019","29,212.00","29,171.73","29,222.73","29,143.73","","0.14%"
"05/02/2019","29,171.73","29,159.74","29,195.70","29,104.10","","0.04%"
"04/30/2019","29,159.74","29,521.06","29,654.53","29,154.78","","-1.22%"
"04/29/2019","29,521.06","29,740.41","29,813.37","29,476.29","","-0.74%"
"04/26/2019","29,740.41","29,919.19","30,041.37","29,740.41","","-0.60%"
"04/25/2019","29,919.77","29,898.31","29,986.11","29,862.84","","0.07%"
"04/24/2019","29,898.31","30,080.73","30,113.65","29,854.02","","-0.59%"
"04/23/2019","30,076.00","30,086.31","30,131.93","30,006.33","","-0.03%"
"04/18/2019","30,086.31","29,999.25","30,132.98","29,980.89","","0.39%"
"04/17/2019","29,970.86","29,793.56","30,033.22","29,728.55","","0.76%"
"04/16/2019","29,746.24","29,495.91","29,746.24","29,495.91","","0.85%"
"04/15/2019","29,495.91","29,560.47","29,630.86","29,484.93","","-0.22%"
"04/12/2019","29,560.47","29,347.62","29,566.55","29,312.86","","0.73%"
"04/11/2019","29,347.62","29,180.88","29,347.62","29,172.35","","0.53%"
