Date,Price,Open,High,Low,Vol.,Change %,Close
09/21/2022,49421.91,49446.18,49455.99,49318.55,51.88,-0.05,46973.871
09/20/2022,49445.31,49440.21,49446.01,49378.93,147.59,0.01,49934.6121
09/19/2022,49440.21,49475.42,49479.45,49400.12,67.37,-0.07,46012.1406
09/16/2022,49475.42,49540.48,49543.81,49470.28,107.49,-0.13,43100.2176
09/15/2022,49540.48,49578.83,49579.34,49534.65,167.6,-0.07,46108.3119
09/14/2022,49576.05,49627.72,49637.12,49573.6,197.26,-0.1,44664.948
09/13/2022,49627.72,49625.71,49655.34,49612.4,147.46,0,49625.71
09/12/2022,49626.05,49695.12,49703.85,49626.05,86.59,-0.14,42737.8032
09/09/2022,49695.12,49652.25,49697.61,49652.25,319.09,0.09,54120.9525
09/08/2022,49652.25,49599.73,49658.07,49577.38,161.88,0.03,51087.7219
09/07/2022,49635.76,49644.92,49654.72,49616.03,128.94,-0.02,48652.0216
09/06/2022,49644.92,49991.41,49994.14,49639.64,138.94,-0.69,15497.3371
09/05/2022,49991.41,50045.83,50084.83,49988.28,200.92,-0.11,44540.7887
09/02/2022,50045.83,49889.8,50056.3,49889.8,240.02,0.31,65355.638
09/01/2022,49889.88,49836.51,49934.2,49836.51,229.12,0.11,55318.5261
08/31/2022,49836.51,49642.69,49836.51,49642.69,367.34,0.39,69003.3391
08/30/2022,49642.69,49676.75,49682.93,49625.32,125.95,-0.07,46199.3775
08/29/2022,49676.75,49682.15,49686.95,49624.28,232.94,-0.01,49185.3285
08/26/2022,49682.15,49661.87,49728.46,49628.73,193.51,0.04,51648.3448
08/25/2022,49661.87,48675.24,49662.09,48670.87,226.47,2.03,147485.9772
08/24/2022,48675.33,48554.76,48681,48554.76,167.57,0.22,59236.8072
08/23/2022,48567.14,49344.67,49344.67,48511.58,204.15,-1.58,-28619.9086
08/22/2022,49346.4,49370.62,49381.15,49334.23,122.73,-0.05,46902.089
08/19/2022,49370.62,49395.43,49432.87,49367.26,132.2,-0.35,32107.0295
08/18/2022,49546.38,49691.17,49694.34,49487.74,146.99,-0.29,35280.7307
08/17/2022,49691.17,49709.46,49712.96,49681.24,128.79,-0.04,47721.0816
08/16/2022,49709.46,49629.43,49737.86,49629.43,204.16,0.1,54592.373
08/15/2022,49657.33,49664.07,49724.7,49373.13,210.83,-0.01,49167.4293
08/12/2022,49664.07,50017.51,50017.51,49371.37,272.07,-0.7,15005.253
08/11/2022,50014.6,50075.47,50256.83,50009.12,133.59,-0.12,44066.4136
08/10/2022,50075.47,49350.71,50127.02,49337.73,279.22,1.47,121896.2537
08/09/2022,49350.71,50489.73,50489.73,49342.6,140.58,-2.26,-63617.0598
08/08/2022,50489.73,50722.33,50740.18,50489.07,207.2,-0.46,27390.0582
08/05/2022,50722.33,50582.3,50722.33,50556.7,148.81,0.28,64745.344
08/04/2022,50582.3,50594.97,50720.86,50372.55,130.44,-0.03,49077.1209
08/03/2022,50594.97,50626.04,50647.19,50242.94,121.16,-0.06,47588.4776
08/02/2022,50626.04,49950.32,50626.04,49950.32,129.16,1.35,117383.252
08/01/2022,49950.32,50370.25,50372.43,49886.94,176.05,-0.83,8562.9425
07/29/2022,50370.25,49702.07,50370.25,49687.77,243.29,1.42,120279.0094
07/28/2022,49667.14,50182.73,50182.73,49603.12,206.21,-1.04,-2007.3092
07/27/2022,50188.55,50442.37,50447.87,50163.4,192.41,-0.5,25221.185
07/26/2022,50442.37,51400.53,51405.6,50409.9,156.17,-1.86,-44204.4558
07/25/2022,51400.53,51979.92,51979.92,51327.74,98.75,-1.11,-5717.7912
07/22/2022,51979.92,52122,52129.19,51979.92,205.06,-0.27,38049.06
07/21/2022,52122,52186.52,52204.52,52098.87,151.94,-0.12,45924.1376
07/20/2022,52186.52,52308.88,52310.53,52142.18,238.27,-0.23,40277.8376
07/19/2022,52308.88,52319.94,52333.28,52250.79,205.6,-0.02,51273.5412
07/18/2022,52319.94,52215.12,52510.17,52215.12,116.28,0.2,62658.144
