Date, Open, High, Low, Close, Volume
11/18/19,29.95,29.95,28.4,28.55,4032800
11/15/19,29.95,29.95,28.6,28.75,7555600
11/14/19,30,30,29,29.95,9540500
11/13/19,29,30,28.7,29.3,2181600
12/11/2019,29.85,29.85,28.65,29,15141600
11/11/2019,29.85,29.85,28,29.4,3247300
8/11/2019,30.5,30.5,29.8,30,5180600
7/11/2019,30.95,31.5,30.8,31.2,10563700
6/11/2019,30.5,31.25,30.5,30.7,40264801
5/11/2019,30.5,30.55,30.4,30.5,6699600
4/11/2019,29.8,30.6,29.8,30.4,8531600
1/11/2019,29.8,30.95,29.8,30.3,7080600
10/31/19,28.9,29.85,28.9,29.75,23205301
10/30/19,28.85,29.6,28.85,29.25,22245100
10/29/19,28.8,29,28.8,28.9,4306200
10/28/19,28.8,28.95,28.8,28.85,2595300
10/25/19,28.5,28.9,28.5,28.7,24186000
10/24/19,28.4,28.75,28.4,28.6,3019500
10/23/19,28.25,28.55,28.25,28.5,3795000
10/22/19,28.45,28.55,27.8,28.45,16056000
10/18/19,28,28.5,28,28.25,3182300
10/17/19,27.9,28.5,27.85,28.45,5111400
10/16/19,28,28,27,27.9,8243800
10/15/19,28,28.3,27.7,27.9,502000
10/14/19,28,28.45,27.9,28,1129700
11/10/2019,29,29,28.2,28.45,4501800
9/10/2019,28,28.45,28,28.3,3544700
8/10/2019,28,28.35,28,28.2,1733300
7/10/2019,27.75,28.55,27.75,27.85,4762700
4/10/2019,28.05,28.5,27.8,28.05,9273300
3/10/2019,27.8,28.2,27.8,28.1,5614900
2/10/2019,27.55,28,27.5,27.65,8347100
1/10/2019,27.25,27.75,27.25,27.55,8742600
09/30/19,27.2,28,27.2,27.5,1392200
09/27/19,27.15,27.4,27.1,27.1,6838100
09/26/19,27.5,27.5,27,27.15,2459600
09/25/19,28,28,27.4,27.55,30531000
09/24/19,27.5,27.75,27.35,27.5,4280400
09/23/19,27.5,27.6,27.4,27.5,1195000
09/20/19,27.5,28,27.25,27.35,5855100
09/19/19,27.15,27.5,27.15,27.2,2746200
